,Country,Lat,Long,Confirmed
173,Denmark,56.2639,9.5018,615
174,China,40.1824,116.4142,435
175,China,31.201999999999998,121.4491,344
176,China,39.549,116.1306,318
177,China,26.0789,117.9874,296
178,China,23.8298,108.7881,252
179,China,35.1917,108.8701,245
180,China,24.974,101.48700000000001,174
181,China,19.1959,109.7453,168
182,China,26.8154,106.8748,146
183,China,39.3054,117.323,136
184,China,37.5777,112.2922,133
185,China,37.8099,101.0583,127
186,China,22.3,114.2,129
187,China,41.2956,122.6085,125
188,China,43.6661,126.1923,93
189,Czechia,49.8175,15.472999999999999,94
190,China,41.1129,85.2401,76
191,China,44.0935,113.9448,75
192,China,37.2692,106.1655,75
193,Taiwan*,23.7,121.0,49
194,Vietnam,16.0,108.0,39
195,Russia,60.0,90.0,28
196,China,35.7452,95.9956,18
197,China,22.1667,113.55,10
198,Moldova,47.4116,28.3699,3
199,Bolivia,-16.2902,-63.5887,2
200,Denmark,61.8926,-6.9118,2
201,France,18.0708,-63.0501,2
202,Honduras,15.2,-86.2419,2
203,United Kingdom,49.3723,-2.3644,2
204,Canada,46.5653,-66.4619,1
205,China,31.6927,88.0924,1
206,Congo (Kinshasa),-4.0383,21.7587,1
207,Cote d'Ivoire,7.54,-5.5471,1
208,France,17.9,-62.8333,1
209,Jamaica,18.1096,-77.2975,2
210,Reunion,-21.1151,55.5364,1
211,Turkey,38.9637,35.2433,1
212,United Kingdom,36.1408,-5.3536,1
213,US,47.6477,-122.6413,0
214,US,38.3105,-121.9018,0
215,US,37.0454,-121.958,0
216,US,38.5025,-122.2654,0
217,US,34.3705,-119.1391,0
218,US,42.4097,-71.8571,0
219,US,33.9191,-84.0167,0
220,US,33.7956,-84.2279,0
221,US,37.5455,-82.7779,0
222,US,33.4502,-84.4803,0
223,US,32.4893,-94.8521,0
224,US,40.2589,-74.124,0
225,US,40.0712,-74.8649,0
226,US,39.9259,-75.1196,0
227,US,40.8568,-74.1285,0
228,US,40.6976,-74.2632,0
229,US,39.6553,-106.8287,0
230,US,40.6956,-105.5943,0
231,US,39.6203,-104.3326,0
232,US,38.5458,-106.9253,0
233,US,41.9879,-88.4016,0
234,US,41.0458,-75.2479,0
235,US,39.9526,-75.1652,0
236,US,36.8508,-76.2859,0
237,US,38.8816,-77.09100000000001,0
238,US,38.2042,-77.6078,0
239,US,39.0768,-77.6536,0
240,US,38.7849,-76.8721,0
241,US,41.3912,-95.4778,0
242,US,34.2465,-80.607,0
243,US,32.0575,-111.6661,0
244,US,41.4277,-85.355,0
245,US,39.8522,-77.2865,0
246,US,40.0106,-86.4997,0
247,US,43.0186,-89.5498,0
248,US,44.7509,-92.3814,0
249,US,41.4339,-81.6758,0
250,US,41.2603,-111.9522,0
251,US,43.0279,-73.135,0
252,US,44.8254,-93.7842,0
253,US,26.8946,-81.9098,0
254,US,34.2515,-84.4803,0
255,US,33.1795,-96.493,0
256,US,38.1938,-85.6435,0
